Comment,Emotion,processed_text
i seriously hate one subject to death but now i feel reluctant to drop it,fear,serious hate one subject death feel reluct drop
im so full of life i feel appalled,anger,im full life feel appal
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,sit write start dig feel think afraid accept possibl might make
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,ive realli angri r feel like idiot trust first place
i feel suspicious if there is no one outside like the rapture has happened or something,fear,feel suspici one outsid like raptur happen someth
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,feel jealou becasu want kind love true connect two soul want
when a friend of mine keeps telling me morbid things that happened to his dog,anger,friend mine keep tell morbid thing happen dog
i finally fell asleep feeling angry useless and still full of anxiety,anger,final fell asleep feel angri useless still full anxieti
i feel a bit annoyed and antsy in a good way,anger,feel bit annoy antsi good way
i feel like i ve regained another vital part of my life which is living,joy,feel like regain anoth vital part life live
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,feel bit like franz liebkind produc mani peopl know fuhrer terrif dancer
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,feel start didnt want move much realli glad experi glimps sort vibrant energi gain year
i was bitten by a dog,fear,bitten dog
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,alway find feel thank year gather trick allow feel grate face moment last thing want say thank
i just try not to talk to anyone when i feel irritable like that,anger,tri talk anyon feel irrit like
i feel like they hated me since then,anger,feel like hate sinc
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,dont know wrote follow littl note feel today u r offend follow post obvious live long enough compromis act believ
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,feel offend choos tell guy feel treat guy friend would want put stop nonsens
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,rememb feel belong smart enough cool enough even young enough
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,feel like redeem even though think realiz distraught ok
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,hope next quot abl let special someon know im feel insecur understand matter much trust
i feel much better and without the help of ice,joy,feel much better without help ice
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,sit type wonder belong feel distract feel comfort feel misunderstood hurt
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,still feel littl shaki time move slightli odd jade hair particular seem prone gener work well spencer write
i stropped about for a bit feeling grumpy because i was missing out,anger,strop bit feel grumpi miss
i have a feeling i shall go mad,anger,feel shall go mad
i am happpy when i get good results in the field of academics or athletics,joy,happpi get good result field academ athlet
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,got feel brig sincer strong desir help other becom success financi also build strengthen relationship christian
im feeling deeply overwhelmed by these ordinary tasks,fear,im feel deepli overwhelm ordinari task
i feel so grouchy and irritable when im sick,anger,feel grouchi irrit im sick
i feel my heart shaky all the time now,fear,feel heart shaki time
i expect and i feel content with that,joy,expect feel content
i feel amused at the absurdity of it all,joy,feel amus absurd
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,end get unwant attent boy want littl ill sort start someth boy find flirti other presenc ill feel realli insincer around boy like
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,couldnt help feel littl bit bitter toward great big happi grin
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,go back point easi sell get folk feel realli virtuou dont want anyway
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,im feel bit sociabl although dont think ill abl express everyth want say
i would feel joyful,joy,would feel joy
at a certain situation i felt myself neglected and undeservedly harmed,anger,certain situat felt neglect undeservedli harm
i felt good and feel fine today too,joy,felt good feel fine today
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,look happen u two gener look happen two three instead feel outrag histori aggress felt privileg
im feeling slightly optimistic,joy,im feel slightli optimist
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,feel hate hollow ye hear mani smith day
im still feeling indecisive im polling yall p,fear,im still feel indecis im poll yall p
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,sometim back anoth girl term exboyfriend came shout twelv midnight thought still interest boy
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,id start feel resent live part countri sun stubbornli refus show end septemb
i just feel so fucked up these days,anger,feel fuck day
i confess that i was feeling nervous as i made my way to the event venue,fear,confess feel nervou made way event venu
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,realli worri would feel intimid monica met morn incred welcom made feel relax straight away
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,sick cold amp feel well wonder would even abl patienc go whitley month photo shoot
i feel like i have been a bit obnoxious in my picture posting,anger,feel like bit obnoxi pictur post
i feel morally outraged and furious more often than i d like,anger,feel moral outrag furiou often like
i feel pissed my friend didnt offer me a soda,anger,feel piss friend didnt offer soda
i feel our hearts are treading dangerous territory,anger,feel heart tread danger territori
i feel frightened by it all,fear,feel frighten
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,know pleasant feel selfish say think would fallen apart
i feel shafted or greedy,anger,feel shaft greedi
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,crappi week still feel agit like day want
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,feel rebelli particularli like watch romcom get feel may pretti good write
